,treatment,gender,age,nationality,education,field_of_work,political_party,undefined_question_1,undefined_question_2,undefined_question_3,undefined_question_4,zsg_question_1,zsg_question_2,zsg_question_3,zsg_question_4,nzsg_question_1,nzsg_question_2,nzsg_question_3,nzsg_question_4,nbzsg_avg,nredist_avg,bzsg_factor,redist_factor,redist_factor_2,undefined_effort_diff,zsg_effort_diff,nzsg_effort_diff,undefined_effort_diff_d,zsg_effort_diff_d,nzsg_effort_diff_d,undefined_effort_winner,zsg_effort_winner,nzsg_effort_winner,undefined_effort_loser,zsg_effort_loser,nzsg_effort_loser,counter,diff_zs_nzs,avg_redist_amount,zero_redist
66,treatment_1,1.0,55.0,1.0,2.0,8.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.12499999999999999,0.20833333333333331,0.14803609884279112,0.18304011482166255,0.2527993059635161,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
67,treatment_2,1.0,25.0,1.0,1.0,8.0,5.0,0.3333333333333333,1.0,0.4,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.14583333333333331,0.875,0.13199685669190314,0.989144883292782,0.34501074706449264,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.13333333333333333,0
68,treatment_3,2.0,26.0,1.0,1.0,13.0,5.0,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,1.0,0.49875,0.49625,0.2708333333333333,0.75,0.28090170531081526,0.7079169469228295,0.7508005374725968,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0012499999999999734,0.3329166666666667,0
69,treatment_4,2.0,25.0,1.0,3.0,13.0,1.0,0.3333333333333333,1.0,0.36,0.3,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.25375,0.0,0.37499999999999994,0.8750000000000001,0.37804055134868425,0.9199770004220708,0.548805603127573,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.25375,0.20458333333333334,0
70,treatment_5,1.0,66.0,1.0,3.0,5.0,6.0,0.5,1.0,0.5,0.25,0.5,1.0,0.5,0.39375,0.5,1.0,0.5,0.4,0.2916666666666667,0.8333333333333334,0.2932966906276682,0.8239293647253807,0.6871531805096018,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.5,1
71,treatment_6,2.0,22.0,3.0,1.0,10.0,8.0,0.16666666666666666,0.0,0.0,0.0,0.5,1.0,0.54,0.66625,0.16666666666666666,0.0,0.0,0.0,0.5,0.49999999999999994,0.4693163252515874,0.566018526960656,0.17340533439127453,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.54,0.18000000000000002,0
72,treatment_1,2.0,47.0,2.0,1.0,1.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.25,0.15000000000000002,0.3125,0.8333333333333334,0.3197937869330858,0.9770231271108717,0.21481240387375886,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,-0.25,0.08333333333333333,0
73,treatment_2,1.0,40.0,1.0,2.0,12.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.24999999999999997,0.5,0.24614195287033572,0.48209264744587627,0.4419512549640372,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
74,treatment_3,1.0,55.0,1.0,1.0,8.0,6.0,0.3333333333333333,1.0,0.4,0.3,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.24875,0.06125,0.25,0.625,0.2283792836420737,0.5971551115570866,0.6009991124779425,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.24875,0.21625000000000003,0
75,treatment_4,2.0,27.0,3.0,5.0,5.0,8.0,0.5,1.0,0.62,0.96,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.4375,0.5,0.4457409707268657,0.47686396349657584,0.4789500034785037,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.20666666666666667,0
76,treatment_5,2.0,29.0,1.0,1.0,8.0,7.0,0.6666666666666666,1.0,0.75,0.9,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.4375,0.7916666666666667,0.4446781466358262,0.8783611494395314,0.37165935551302104,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.25,0
77,treatment_6,1.0,21.0,3.0,3.0,15.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4583333333333333,0.1517537949547244,0.5605933615174528,-0.06764489394483354,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
